Time[s],NS[cm/s/s],EW[cm/s/s],UD[cm/s/s]
0,-1.4,0.3 ,2.4 
0.02,-10.8,1.9 ,-23.0 
0.04,-10.1,6.8 ,-27.5 
0.06,-8.8,2.9 ,-39.7 
0.08,-9.5,2.9 ,-39.0 
0.1,-12,5.4 ,-6.0 
0.12,-14.2,8.3 ,40.9 
0.14,-12.8,5.3 ,20.9 
0.16,-11,1.4 ,-68.3 
0.18,-8.5,5.3 ,-64.7 
0.2,-8.5,13.4 ,9.1 
0.22,-13.1,12.4 ,13.4 
0.24,-17.6,6.6 ,31.7 
0.26,-19.4,6.1 ,73.8 
0.28,-16.2,13.3 ,60.0 
0.3,-14.4,4.9 ,-53.1 
0.32,-10.8,9.6 ,-26.1 
0.34,-8.2,18.8 ,-13.0 
0.36,-4.2,24.3 ,-43.9 
0.38,-6.6,13.3 ,-69.0 
0.4,-13.1,4.6 ,-11.7 
0.42,-19,-8.1 ,26.0 
0.44,-19.6,-15.6 ,84.0 
0.46,-6.6,-8.5 ,122.4 
0.48,3,-3.1 ,-23.2 
0.5,14.1,4.0 ,-137.1 
0.52,-4.9,8.5 ,-72.7 
0.54,-12.8,13.2 ,-38.1 
0.56,-14.4,18.0 ,39.4 
0.58,-20.3,16.2 ,77.1 
0.6,-26,2.3 ,35.6 
0.62,-32.5,2.5 ,17.9 
0.64,-30.6,8.0 ,-17.1 
0.66,-17.2,7.7 ,-5.8 
0.68,-19.7,11.0 ,-19.4 
0.7,-16.3,13.1 ,22.9 
0.72,-16.4,8.1 ,90.3 
0.74,-6.7,1.3 ,-8.0 
0.76,2.5,-15.1 ,-111.2 
0.78,15,-33.0 ,-69.9 
0.8,23.6,-53.2 ,-18.8 
0.82,25.2,-64.6 ,57.7 
0.84,33.6,-52.5 ,107.7 
0.86,46.3,-41.5 ,173.4 
0.88,49.2,-40.1 ,-3.6 
0.9,41.9,-51.5 ,-96.8 
0.92,35.9,-56.9 ,66.6 
0.94,27.1,-57.2 ,117.3 
0.96,23.5,-52.8 ,172.8 
0.98,33.9,-49.7 ,-206.3 
1,41.2,-49.8 ,-55.5 
1.02,53,-55.0 ,-43.1 
1.04,63.9,-49.2 ,93.6 
1.06,73.2,-43.1 ,22.0 
1.08,65.2,-36.2 ,-183.6 
1.1,59.9,-28.0 ,-183.7 
1.12,40,-20.4 ,-41.9 
1.14,40,-14.7 ,60.6 
1.16,6.3,-21.3 ,172.2 
1.18,-51.5,-4.7 ,-141.0 
1.2,-78.7,21.5 ,-44.0 
1.22,-60.3,47.9 ,-26.7 
1.24,-48.4,58.0 ,51.9 
1.26,-25,18.8 ,87.5 
1.28,-5.9,-12.2 ,-3.5 
1.3,13.4,-53.8 ,-80.9 
1.32,30.8,-96.8 ,-9.8 
1.34,49.9,-110.0 ,27.8 
1.36,71,-105.9 ,109.3 
1.38,99.5,-107.0 ,42.1 
1.4,121.9,-99.9 ,-79.1 
1.42,152.9,-93.6 ,-66.4 
